Sr no.,Reel Links,Post Date,Appeal Type,Narrative Style,Transparency,CTA,Views,Likes,Coments
11,https://www.instagram.com/reel/DYrQ03JN1wa/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,23-5-2026,Positive — the creator celebrates a successful event and shares how many people came and how happy the clients were.,Showing results — the event already happened and the creator is showing how well it went and the happy reactions.,"High — the creator openly shows the real crowd size, the booking numbers, and genuine client reactions.",Not directly said — viewers feel like visiting the store or being part of the event excitement.,49.3k,1106,6
12,https://www.instagram.com/reel/DYomDRHtCWx/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,22-5-2026,Struggle — the creator shares how bad weather completely stopped their outdoor work and how hard the situation is.,Live moment — the business is stopped right now because of the weather and the creator is dealing with it in real time.,High — the creator is very open about the business shutdown and shares their honest feelings about the tough situation.,Not directly said — viewers naturally feel sympathy and want to send support or prayers.,32.9k,1247,8
13,https://www.instagram.com/reel/DYmNlWXtcHs/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,21-5-2026,Teaching and struggle — the creator shows the process of ordering new equipment and how much patience is needed to wait 7 days.,Live moment — the creator is in the middle of the waiting period and tracking the time and steps as they go.,High — the creator shares the exact timeline and the real steps of setting up the business.,Not directly said — viewers feel curious and want to come back after 7 days to see the final result.,54.2k,1059,8
14,https://www.instagram.com/reel/DYaAcouIrks/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,16-5-2026,Struggle and teaching — the creator is handling university exams at the same time as reopening their stall after a lockdown.,Live moment — the creator just finished exams and is now setting up the stall again in real time.,"High — the creator openly shares their student responsibilities, the impact of the lockdown, and the current setup progress.",Not directly said — customers feel welcome to come back to the stall now that it is open again.,22.9k,645,3
15,https://www.instagram.com/reel/DYUZQ25siDH/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,14-5-2026,Struggle — the creator is under pressure from university exams and had to close the business for 7 days to focus on studying.,Live moment — the decision to close the stall is happening right now and the creator shares it honestly.,High — the creator tells viewers their exact exam schedule and how long the stall will be closed.,Not directly said — customers feel like understanding the break and waiting for the stall to reopen.,85.4k,2672,36
16,https://www.instagram.com/reel/DYEjWwet3ru/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,8-5-2026,Teaching and struggle — the creator shows step by step how they prepared 50 orders while also managing university life.,Live and results — the creator is preparing the orders right now and also showing how they got this big opportunity.,"High — the creator shares the exact number of orders, who they are for, and all the behind-the-scenes work.",Not directly said — other university students or groups feel like placing bulk orders after seeing this.,322k,7812,35
17,https://www.instagram.com/reel/DXB_UTrDQXZ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,12-4-2026,Positive and teaching — the creator promotes a bakery brand by showing how they fixed a product problem and made it right.,Showing results — the problem has already been fixed and the creator shows the good outcome.,Medium — the creator talks about the product issue and the fix but does not share all the details of what went wrong.,Suggested — the creator encourages viewers to buy from Standard Bakers now that the problem is solved.,169k,4881,20
18,https://www.instagram.com/reel/DWoJrAjjWhk/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,2-4-2026,Positive and struggle — the creator shares a special moment of bringing their parents to see the business they built.,Live and results — the parents are visiting the stall right now and the creator captures their proud reactions.,"High — the creator is very open about their feelings, family relationships, and how much parental support means to them.",Not directly said — viewers feel like visiting the stall or appreciating their own family support after watching.,25.6k,1117,19
19,https://www.instagram.com/reel/DWHEmRiiJzH/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,20-3-2026,Struggle and teaching — the creator celebrates their very first Foodpanda order and shows how they prepared the food step by step.,Live and results — the first order just came in and the creator is excitedly preparing it right now.,"High — the creator shows the full kitchen process, how the order was packed, and what this milestone means to them.",Suggested — the creator encourages viewers to find the stall on Foodpanda and place an order.,119k,3468,20
20,https://www.instagram.com/reel/DWPA8A-iHzo/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,23-3-2026,Teaching and struggle — the creator shows the daily hard work of managing a stall and keeps pushing forward every day.,Live moment — the creator documents the daily routine and shares each day's progress as it happens.,"High — the creator honestly shows the daily grind, the routine work, and their consistent effort at the event.",Not directly said — viewers feel like coming to visit the stall after seeing the daily effort put in.,31.1k,1338,14
